,Temp_avg,Temp_min,Dew_max,Dew_avg,Dew_min,Hum_max,Hum_avg,Hum_min,Wind_max,Wind_avg,Wind_min,Pres_max,Pres_avg,Pres_min,Precipitation,Date
0,30.9,30,32,30.9,30,100,100.0,100,6,2.4,0,29.6,29.6,29.6,0.00,2020-01-01
1,34.5,30,41,33.7,30,100,96.9,81,9,4.0,0,29.6,29.6,29.5,0.00,2020-01-02
2,45.0,41,45,41.4,37,100,86.8,76,10,4.5,1,29.6,29.5,29.5,0.00,2020-01-03
3,43.2,37,45,40.0,34,100,88.3,66,23,9.8,0,29.7,29.6,29.6,0.00,2020-01-04
4,36.4,30,37,33.6,30,100,90.0,76,10,5.3,0,29.7,29.7,29.6,0.00,2020-01-05
5,38.1,28,41,33.9,27,100,85.5,71,13,5.4,0,29.6,29.5,29.4,0.00,2020-01-06
6,40.0,34,43,38.2,32,100,93.2,87,10,4.4,1,29.6,29.6,29.5,0.00,2020-01-07
7,42.3,36,41,38.8,36,100,88.2,71,12,4.7,0,29.6,29.6,29.5,0.00,2020-01-08
8,48.1,37,41,33.9,27,87,60.7,33,30,17.0,2,29.5,29.4,29.2,0.00,2020-01-09
9,48.0,43,45,41.5,39,87,77.9,62,23,10.4,1,29.6,29.4,29.3,0.00,2020-01-10
10,42.5,39,41,38.1,36,93,85.2,71,17,9.6,0,29.6,29.6,29.6,0.00,2020-01-11
11,38.6,34,37,34.9,32,100,86.6,71,8,2.7,0,29.6,29.5,29.5,0.00,2020-01-12
12,39.5,32,39,34.5,30,100,83.7,66,12,6.6,0,29.5,29.4,29.2,0.00,2020-01-13
13,49.9,46,41,37.9,36,71,63.4,54,29,19.7,13,29.3,29.2,29.2,0.00,2020-01-14
14,52.3,50,45,40.0,37,82,63.7,54,30,18.6,10,29.5,29.3,29.2,0.00,2020-01-15
15,49.5,41,43,39.7,36,82,69.7,51,20,10.2,1,29.5,29.5,29.4,0.00,2020-01-16
16,47.8,43,46,41.9,37,93,81.1,66,22,9.3,2,29.5,29.4,29.3,0.00,2020-01-17
17,39.5,34,39,35.2,32,100,85.5,62,12,4.6,0,29.6,29.5,29.4,0.00,2020-01-18
