,Temp_avg,Temp_min,Dew_max,Dew_avg,Dew_min,Hum_max,Hum_avg,Hum_min,Wind_max,Wind_avg,Wind_min,Pres_max,Pres_avg,Pres_min,Precipitation,Date
0,38.1,32,36,31.6,27,100,80.1,53,22,7.0,0,27.8,27.7,27.7,0.00,2021-01-01
1,33.2,27,30,23.2,19,93,68.1,45,15,4.8,0,27.9,27.8,27.8,0.00,2021-01-02
2,34.0,23,28,23.9,18,93,68.6,40,13,5.1,0,27.9,27.8,27.8,0.00,2021-01-03
3,36.4,28,28,24.9,21,93,64.8,42,15,7.1,1,27.8,27.7,27.7,0.00,2021-01-04
4,30.7,21,27,22.2,19,93,73.3,42,5,2.0,0,27.8,27.8,27.7,0.00,2021-01-05
5,30.1,19,28,22.0,18,93,73.8,43,7,2.6,0,27.8,27.8,27.8,0.00,2021-01-06
6,31.6,27,32,26.7,23,100,83.1,60,8,4.4,0,27.8,27.8,27.7,0.00,2021-01-07
7,29.6,23,32,27.1,19,100,91.0,80,12,6.7,0,27.8,27.7,27.6,0.00,2021-01-08
8,30.9,30,32,30.2,28,100,97.4,93,15,7.6,0,27.6,27.5,27.5,0.00,2021-01-09
9,33.7,25,32,29.2,23,100,84.7,70,10,4.0,0,27.9,27.8,27.6,0.00,2021-01-10
10,26.1,12,28,20.3,12,100,80.3,48,6,1.8,0,28.1,28.0,27.9,0.00,2021-01-11
11,18.7,9,19,14.0,5,100,83.0,60,3,1.4,0,28.3,28.2,28.1,0.00,2021-01-12
12,21.0,9,23,15.7,7,100,82.0,56,5,2.0,0,28.3,28.3,28.2,0.00,2021-01-13
13,23.4,12,23,17.8,9,100,80.8,52,5,1.9,0,28.3,28.2,28.1,0.00,2021-01-14
14,26.3,16,28,22.0,14,100,85.3,57,6,2.1,0,28.3,28.2,28.2,0.00,2021-01-15
15,28.0,16,30,22.5,14,100,81.7,60,7,1.6,0,28.3,28.2,28.2,0.00,2021-01-16
16,26.3,14,25,19.8,12,100,79.5,42,3,1.9,0,28.3,28.3,28.2,0.00,2021-01-17
17,30.3,18,34,25.2,16,100,83.0,57,5,2.0,0,28.3,28.2,28.2,0.00,2021-01-18
18,29.4,16,34,25.9,16,100,87.5,61,5,1.8,0,28.2,28.1,28.0,0.00,2021-01-19
19,34.0,27,41,33.3,25,100,97.1,87,8,2.9,0,28.0,27.8,27.7,0.00,2021-01-20
20,45.9,37,48,44.0,37,100,93.3,82,20,11.0,3,27.9,27.8,27.8,0.00,2021-01-21
21,47.6,43,48,39.9,34,94,75.3,54,31,16.3,8,27.9,27.7,27.5,0.00,2021-01-22
22,44.7,39,48,40.5,34,94,84.8,70,25,15.5,8,27.9,27.8,27.6,0.00,2021-01-23
23,51.1,48,50,38.1,34,94,62.0,44,21,12.8,5,27.9,27.8,27.6,0.00,2021-01-24
24,52.1,46,52,48.4,43,94,87.2,77,20,13.4,2,27.9,27.8,27.7,0.00,2021-01-25
25,50.7,43,54,48.7,43,100,92.5,77,10,2.8,0,28.1,28.1,27.9,0.00,2021-01-26
26,55.3,50,54,51.8,50,100,88.8,56,6,2.0,0,28.2,28.1,28.1,0.00,2021-01-27
27,51.3,48,52,49.8,48,100,95.5,88,6,2.3,0,28.2,28.1,28.1,0.00,2021-01-28
28,49.6,45,48,46.6,43,100,90.7,77,7,2.7,0,28.1,28.1,28.0,0.00,2021-01-29
29,51.7,46,50,41.5,30,94,70.7,38,29,15.5,5,28.0,27.8,27.8,0.00,2021-01-30
30,51.9,46,50,42.5,34,88,70.7,54,22,15.6,5,27.8,27.8,27.8,0.00,2021-01-31
0,54.7,48,46,42.8,37,87,65.5,45,24,13.6,3,27.9,27.9,27.8,0.00,2021-02-01
1,51.1,46,50,46.8,43,100,85.9,71,14,7.7,1,28.0,27.9,27.9,0.00,2021-02-02
2,50.0,45,50,46.5,41,100,88.0,76,9,5.5,0,27.9,27.9,27.8,0.00,2021-02-03
3,51.5,48,50,47.0,45,100,85.6,63,9,4.5,0,27.8,27.8,27.7,0.00,2021-02-04
4,51.6,43,48,44.6,39,94,78.7,52,17,5.7,0,27.7,27.6,27.5,0.00,2021-02-05
5,48.4,43,48,45.6,43,100,89.9,71,9,4.6,0,27.6,27.5,27.5,0.00,2021-02-06
6,45.9,39,43,37.8,34,93,74.5,47,20,8.5,0,27.7,27.6,27.6,0.00,2021-02-07
7,47.1,43,43,42.0,41,100,83.0,62,20,11.5,0,27.6,27.6,27.5,0.00,2021-02-08
8,46.3,43,46,42.7,39,100,86.9,76,28,13.9,6,27.7,27.6,27.5,0.00,2021-02-09
9,50.0,45,43,38.6,30,93,66.7,34,24,13.2,3,27.9,27.7,27.5,0.00,2021-02-10
10,48.4,39,52,45.8,37,100,90.7,81,8,3.6,0,28.0,28.0,27.9,0.00,2021-02-11
11,52.9,48,52,44.4,39,100,75.2,51,22,10.3,2,28.1,28.0,27.9,0.00,2021-02-12
12,48.1,37,45,39.8,36,100,74.6,48,7,2.8,0,28.2,28.1,28.1,0.00,2021-02-13
13,46.4,34,45,39.1,34,100,77.8,45,5,2.0,0,28.3,28.3,28.2,0.00,2021-02-14
14,46.8,37,46,41.4,37,100,82.5,59,6,2.6,0,28.4,28.3,28.3,0.00,2021-02-15
15,46.5,36,45,39.9,34,100,79.5,51,8,2.9,0,28.3,28.2,28.1,0.00,2021-02-16
16,48.5,39,46,41.5,37,100,78.9,48,8,2.8,0,28.1,28.1,28.0,0.00,2021-02-17
17,48.1,36,43,37.2,28,100,70.9,29,20,5.6,0,28.0,28.0,27.9,0.00,2021-02-18
18,48.3,34,43,35.8,32,93,66.1,28,13,4.1,0,28.0,28.0,27.9,0.00,2021-02-19
19,49.7,37,41,34.9,30,87,61.1,32,15,6.8,1,27.9,27.8,27.7,0.00,2021-02-20
20,49.8,45,46,42.0,37,93,75.0,62,14,8.3,1,27.7,27.6,27.6,0.00,2021-02-21
21,45.9,39,41,37.6,34,100,74.5,50,13,3.0,0,28.2,27.9,27.6,0.00,2021-02-22
22,44.0,32,43,37.2,32,100,78.4,55,8,3.4,0,28.4,28.3,28.2,0.00,2021-02-23
23,46.0,34,48,40.3,32,100,81.4,59,12,4.0,0,28.4,28.3,28.2,0.00,2021-02-24
24,47.5,37,45,41.4,37,100,80.2,63,7,3.3,0,28.3,28.2,28.2,0.00,2021-02-25
25,49.2,39,46,41.0,37,93,75.1,51,6,2.6,0,28.3,28.2,28.2,0.00,2021-02-26
26,50.0,36,45,39.5,36,100,71.0,37,3,1.7,0,28.2,28.1,28.0,0.00,2021-02-27
27,47.3,37,43,37.9,32,93,70.8,51,16,5.8,0,28.1,28.0,27.9,0.00,2021-02-28
0,46.5,43,45,40.2,36,87,79.0,66,7,2.7,0,28.1,28.1,28.0,0.00,2021-03-01
1,50.1,45,45,43.3,41,100,77.7,55,7,1.9,0,28.3,28.2,28.1,0.00,2021-03-02
2,50.1,43,48,44.4,41,93,80.7,63,3,1.7,0,28.3,28.2,28.2,0.00,2021-03-03
3,46.1,37,46,43.0,37,100,89.1,67,3,1.7,0,28.2,28.1,27.9,0.00,2021-03-04
4,48.7,37,46,42.1,37,100,79.7,55,6,3.0,0,27.9,27.9,27.9,0.00,2021-03-05
5,51.4,45,45,40.6,37,87,67.6,48,6,2.5,0,28.0,28.0,27.9,0.00,2021-03-06
6,49.4,41,45,41.6,37,93,75.8,51,8,3.4,0,28.0,27.9,27.8,0.00,2021-03-07
7,47.1,41,45,42.3,39,100,83.2,55,18,3.5,0,27.9,27.9,27.8,0.00,2021-03-08
8,47.8,41,39,34.2,30,81,60.0,41,9,5.2,0,28.0,27.9,27.9,0.00,2021-03-09
9,45.3,28,36,31.3,27,100,62.1,34,8,3.4,0,28.1,28.1,28.0,0.00,2021-03-10
10,51.4,37,48,41.0,34,93,69.3,45,13,5.3,0,28.2,28.1,28.1,0.00,2021-03-11
11,51.1,43,46,38.8,30,100,66.1,36,13,5.3,0,28.1,28.1,28.0,0.00,2021-03-12
12,46.0,32,36,30.6,27,93,59.5,27,15,4.8,0,28.1,28.1,28.0,0.00,2021-03-13
13,47.5,32,41,34.0,28,87,62.2,39,10,4.0,0,28.2,28.1,28.1,0.00,2021-03-14
14,50.8,34,39,34.0,30,93,55.8,32,12,5.0,1,28.2,28.1,28.1,0.00,2021-03-15
15,53.2,39,36,33.8,30,70,49.3,30,13,7.9,1,28.2,28.1,28.1,0.00,2021-03-16
16,54.4,45,39,33.1,21,66,47.2,24,15,8.6,3,28.2,28.1,28.0,0.00,2021-03-17
17,47.0,37,32,27.1,23,70,46.9,35,14,8.3,3,28.1,28.0,27.9,0.00,2021-03-18
18,44.5,36,37,31.1,25,75,59.6,50,22,7.6,0,27.9,27.8,27.7,0.00,2021-03-19
19,43.7,34,27,21.9,18,70,44.4,26,17,7.9,2,28.0,27.9,27.9,0.00,2021-03-20
20,44.4,28,30,24.2,18,74,47.4,29,14,5.3,0,28.1,28.0,28.0,0.00,2021-03-21
