,Temp_avg,Temp_min,Dew_max,Dew_avg,Dew_min,Hum_max,Hum_avg,Hum_min,Wind_max,Wind_avg,Wind_min,Pres_max,Pres_avg,Pres_min,Precipitation,Date
0,45.6,43,43,41.2,39,93,84.2,76,16,11.0,6,29.7,29.6,29.6,0.00,2021-01-01
1,40.7,39,39,36.4,34,93,84.7,76,16,11.1,6,29.6,29.6,29.5,0.00,2021-01-02
2,39.8,34,36,33.8,32,93,78.4,70,16,11.2,3,29.8,29.7,29.6,0.00,2021-01-03
3,37.7,36,37,35.6,34,100,90.5,87,13,4.0,0,29.8,29.7,29.7,0.00,2021-01-04
4,36.7,32,37,33.4,30,100,88.3,70,15,7.2,0,29.8,29.8,29.7,0.00,2021-01-05
5,37.2,32,32,28.8,27,87,73.1,57,20,14.2,7,29.9,29.9,29.8,0.00,2021-01-06
6,33.9,25,32,28.3,23,93,80.5,65,12,5.2,1,29.9,29.9,29.9,0.00,2021-01-07
7,36.1,27,30,28.1,25,93,74.3,53,12,7.1,2,29.9,29.9,29.8,0.00,2021-01-08
8,40.6,34,32,29.1,23,93,65.0,46,16,6.0,0,29.9,29.8,29.8,0.00,2021-01-09
9,36.4,34,34,30.6,27,100,80.4,65,13,6.4,2,30.0,29.9,29.8,0.00,2021-01-10
10,36.7,28,32,27.6,23,87,70.9,53,13,8.3,3,30.1,30.0,30.0,0.00,2021-01-11
11,38.7,25,36,30.0,21,86,71.8,50,35,13.8,0,30.1,30.1,30.0,0.00,2021-01-12
12,48.3,41,43,40.5,36,87,75.2,59,24,16.8,12,30.1,30.1,30.1,0.00,2021-01-13
13,49.0,45,41,38.8,36,87,69.3,47,32,22.4,10,30.1,30.0,29.9,0.00,2021-01-14
14,45.3,39,41,35.5,30,87,70.0,54,33,19.1,6,30.1,30.0,29.9,0.00,2021-01-15
15,40.8,36,30,25.6,18,81,56.9,36,23,14.6,5,30.2,30.2,30.1,0.00,2021-01-16
16,43.6,32,37,33.7,30,93,69.4,47,33,17.6,1,30.1,30.1,30.0,0.00,2021-01-17
17,42.5,30,34,31.2,27,87,65.4,50,28,12.7,0,30.3,30.2,30.1,0.00,2021-01-18
18,40.4,28,50,33.7,23,93,77.3,54,12,4.0,0,30.3,30.2,30.1,0.00,2021-01-19
19,55.5,54,50,47.2,45,88,73.8,59,25,18.2,9,30.1,29.9,29.8,0.00,2021-01-20
20,56.3,54,52,50.4,46,88,80.0,72,20,14.6,7,29.8,29.8,29.7,0.00,2021-01-21
21,53.5,45,55,47.9,36,94,81.1,62,29,16.1,8,29.7,29.5,29.2,0.00,2021-01-22
22,47.3,39,46,38.6,34,87,72.1,58,18,9.1,0,29.6,29.6,29.5,0.00,2021-01-23
23,46.1,43,45,37.0,30,93,72.0,44,31,12.9,1,29.7,29.6,29.4,0.00,2021-01-24
24,47.4,43,45,36.3,27,87,67.0,43,23,14.9,2,29.9,29.7,29.6,0.00,2021-01-25
25,43.1,39,30,28.0,25,70,55.9,43,28,17.2,6,30.1,30.1,29.9,0.00,2021-01-26
26,44.7,37,41,33.9,27,81,65.8,57,13,6.6,0,30.1,30.0,30.0,0.00,2021-01-27
27,49.6,41,52,43.9,36,93,81.5,67,15,5.2,0,30.0,30.0,29.9,0.00,2021-01-28
28,53.8,46,54,46.7,41,94,78.0,55,20,8.2,1,29.9,29.9,29.8,0.00,2021-01-29
29,46.4,41,46,42.5,37,100,86.9,59,22,6.6,0,29.9,29.6,29.4,0.00,2021-01-30
30,50.1,45,46,44.1,41,93,80.7,59,16,7.3,2,29.5,29.5,29.4,0.00,2021-01-31
0,53.9,48,50,47.7,46,94,81.0,67,22,11.2,1,29.7,29.5,29.4,0.00,2021-02-01
1,53.7,43,52,47.4,41,94,79.9,63,12,5.0,1,29.9,29.8,29.7,0.00,2021-02-02
2,56.5,48,54,49.8,46,100,79.0,64,20,9.2,1,29.9,29.9,29.8,0.00,2021-02-03
3,52.5,46,54,48.9,45,100,87.8,72,12,4.2,0,29.9,29.9,29.9,0.00,2021-02-04
4,54.3,48,54,49.1,46,100,83.4,72,13,5.3,0,29.9,29.9,29.8,0.00,2021-02-05
5,60.8,57,50,47.7,46,72,62.9,52,31,17.8,6,29.8,29.6,29.5,0.00,2021-02-06
6,50.3,45,50,44.0,37,100,80.0,62,25,11.5,1,29.5,29.5,29.5,0.00,2021-02-07
7,45.7,37,48,40.4,36,100,82.6,58,9,4.7,2,29.5,29.4,29.4,0.00,2021-02-08
8,50.5,41,52,46.1,41,100,85.7,59,17,6.8,0,29.6,29.5,29.4,0.00,2021-02-09
9,52.1,45,52,43.7,39,93,73.6,48,23,12.3,3,29.8,29.6,29.4,0.00,2021-02-10
10,47.1,41,39,33.4,27,81,60.2,44,24,16.0,6,30.0,29.9,29.8,0.00,2021-02-11
11,45.9,36,46,38.7,28,87,75.7,61,16,6.0,0,30.0,30.0,29.9,0.00,2021-02-12
12,42.1,34,45,36.3,28,93,80.0,66,16,8.8,2,30.4,30.2,30.0,0.00,2021-02-13
13,41.5,30,34,25.6,18,93,57.3,30,12,5.3,0,30.6,30.5,30.4,0.00,2021-02-14
14,46.0,39,45,31.5,23,93,58.1,43,12,8.4,2,30.6,30.6,30.5,0.00,2021-02-15
15,50.9,46,50,46.5,41,94,85.0,76,12,7.7,2,30.5,30.3,30.2,0.00,2021-02-16
16,50.9,45,50,46.7,41,100,87.2,55,10,4.6,0,30.2,30.1,30.1,0.00,2021-02-17
17,52.8,48,50,47.4,45,94,82.3,77,14,9.0,5,30.1,30.1,30.1,0.00,2021-02-18
18,56.6,54,52,48.3,46,82,74.8,68,17,10.0,5,30.2,30.1,30.1,0.00,2021-02-19
19,56.6,50,48,46.0,43,82,68.6,55,20,12.4,1,30.2,30.1,30.1,0.00,2021-02-20
20,56.8,41,48,43.1,39,93,62.3,40,28,13.2,1,30.1,30.1,30.0,0.00,2021-02-21
21,61.1,57,48,43.6,39,67,53.5,42,33,21.9,10,30.4,30.1,30.0,0.00,2021-02-22
22,57.6,48,54,48.7,45,94,72.6,59,20,6.7,0,30.6,30.5,30.4,0.00,2021-02-23
23,50.9,41,54,47.9,41,100,89.9,68,10,3.2,0,30.6,30.5,30.5,0.00,2021-02-24
24,49.0,43,50,46.4,39,100,91.8,67,8,4.3,1,30.5,30.4,30.4,0.00,2021-02-25
25,48.1,39,52,44.2,37,100,87.8,55,12,4.4,0,30.4,30.3,30.2,0.00,2021-02-26
26,52.6,43,48,44.2,41,94,73.7,55,28,12.7,2,30.2,30.2,30.1,0.00,2021-02-27
27,52.1,41,50,44.3,37,100,76.7,45,16,5.6,0,30.3,30.3,30.2,0.00,2021-02-28
0,49.8,39,46,40.2,32,87,70.3,48,12,4.7,0,30.4,30.3,30.3,0.00,2021-03-01
1,48.3,41,46,40.0,36,87,73.5,55,6,2.4,0,30.4,30.4,30.4,0.00,2021-03-02
2,49.6,43,48,40.8,36,87,71.9,59,8,3.1,0,30.4,30.4,30.3,0.00,2021-03-03
3,49.4,41,52,45.7,39,100,87.2,72,7,3.4,0,30.3,30.2,30.1,0.00,2021-03-04
4,53.6,45,52,45.3,37,100,76.7,40,17,7.6,1,30.1,30.0,29.9,0.00,2021-03-05
