,Temp_avg,Temp_min,Dew_max,Dew_avg,Dew_min,Hum_max,Hum_avg,Hum_min,Wind_max,Wind_avg,Wind_min,Pres_max,Pres_avg,Pres_min,Precipitation,Date
0,35.3,34,36,35.1,32,100,99.3,93,8,2.6,0,29.5,29.4,29.4,0.00,2021-01-01
1,37.4,34,41,37.4,34,100,100.0,100,8,2.9,1,29.4,29.3,29.3,0.00,2021-01-02
2,41.3,39,43,40.5,39,100,97.2,81,7,3.3,1,29.4,29.4,29.3,0.00,2021-01-03
3,42.1,41,41,40.9,39,100,95.8,87,9,3.8,1,29.5,29.4,29.4,0.00,2021-01-04
4,40.6,37,41,38.7,36,100,94.0,76,12,3.9,1,29.4,29.4,29.3,0.00,2021-01-05
5,38.3,36,37,36.7,36,100,94.0,81,5,2.7,0,29.5,29.4,29.4,0.00,2021-01-06
6,38.9,36,37,36.4,34,100,89.9,76,6,3.0,1,29.6,29.6,29.5,0.00,2021-01-07
7,34.5,28,36,31.3,28,100,89.3,57,3,1.4,0,29.6,29.6,29.5,0.00,2021-01-08
8,33.4,27,32,29.6,27,100,86.8,61,6,2.1,1,29.7,29.7,29.6,0.00,2021-01-09
9,32.7,27,32,28.0,25,100,83.9,61,5,1.8,0,29.7,29.7,29.6,0.00,2021-01-10
10,30.3,23,28,25.7,21,100,84.4,53,6,2.0,0,29.8,29.7,29.7,0.00,2021-01-11
11,32.1,25,28,27.2,25,100,83.1,61,8,3.9,1,29.8,29.6,29.5,0.00,2021-01-12
12,39.8,32,37,31.0,27,87,71.9,47,10,6.1,2,29.6,29.5,29.5,0.00,2021-01-13
13,37.6,28,37,31.2,25,93,78.3,54,12,6.2,1,29.6,29.4,29.4,0.00,2021-01-14
14,38.7,28,34,30.2,25,100,72.8,57,6,2.6,0,29.7,29.6,29.6,0.00,2021-01-15
15,34.8,27,30,27.9,25,100,78.0,53,6,2.3,0,29.8,29.8,29.7,0.00,2021-01-16
16,34.0,27,32,30.8,27,100,89.0,65,7,2.8,1,29.8,29.6,29.6,0.00,2021-01-17
