,Temp_avg,Temp_min,Dew_max,Dew_avg,Dew_min,Hum_max,Hum_avg,Hum_min,Wind_max,Wind_avg,Wind_min,Pres_max,Pres_avg,Pres_min,Precipitation,Date
0,35.0,28,39,34.8,28,100,99.5,93,9,4.5,2,30.1,30.1,30.0,0.00,2020-01-01
1,44.6,39,46,43.9,39,100,97.5,93,12,5.5,0,30.0,29.9,29.9,0.00,2020-01-02
2,49.2,46,48,45.6,41,100,87.8,77,15,11.6,8,30.1,29.9,29.8,0.00,2020-01-03
3,43.4,37,41,38.4,36,100,82.5,66,13,6.9,3,30.3,30.2,30.1,0.00,2020-01-04
4,44.8,39,43,40.0,34,100,83.6,66,6,3.3,0,30.3,30.2,30.2,0.00,2020-01-05
5,38.7,32,43,35.3,30,100,88.4,71,18,6.1,0,30.1,30.0,29.9,0.00,2020-01-06
6,45.5,43,50,44.8,41,100,97.5,93,10,7.0,2,30.1,30.0,29.9,0.00,2020-01-07
7,52.9,50,52,51.5,50,100,95.7,88,15,9.7,3,30.0,29.9,29.9,0.00,2020-01-08
8,52.3,50,52,49.6,46,94,91.9,87,18,13.2,9,29.9,29.7,29.5,0.00,2020-01-09
9,46.9,45,46,42.4,39,93,84.6,76,15,10.1,2,30.2,29.8,29.5,0.00,2020-01-10
10,41.2,36,39,36.0,34,93,81.0,62,12,5.9,2,30.2,30.1,30.0,0.00,2020-01-11
11,42.8,37,46,40.1,34,100,88.5,81,16,9.2,3,30.0,30.0,29.9,0.00,2020-01-12
12,47.2,45,46,44.5,41,100,89.4,71,15,10.5,6,29.9,29.7,29.5,0.00,2020-01-13
13,50.8,48,46,41.0,37,87,69.6,62,25,18.3,9,29.6,29.5,29.4,0.00,2020-01-14
14,50.2,45,48,43.1,39,94,77.1,58,21,11.6,0,29.9,29.6,29.6,0.00,2020-01-15
15,48.2,39,46,42.9,39,100,83.3,59,14,7.7,0,29.9,29.8,29.7,0.00,2020-01-16
16,48.4,41,46,41.3,36,93,76.8,58,20,11.1,3,29.9,29.7,29.6,0.00,2020-01-17
17,40.8,36,39,36.2,34,100,83.7,66,10,6.2,2,30.1,30.0,29.9,0.00,2020-01-18
18,39.5,34,36,34.2,30,93,81.3,66,16,9.7,2,30.5,30.3,30.1,0.00,2020-01-19
19,37.7,34,34,33.5,32,93,84.8,70,16,11.8,7,30.6,30.5,30.4,0.00,2020-01-20
20,35.6,30,34,30.4,28,93,83.0,65,10,6.5,2,30.4,30.4,30.3,0.00,2020-01-21
21,32.6,28,32,28.7,27,93,86.1,70,12,6.8,2,30.3,30.2,30.2,0.00,2020-01-22
22,33.6,30,34,30.2,28,93,88.0,75,14,9.4,3,30.2,30.0,29.9,0.00,2020-01-23
23,32.8,28,34,30.0,28,100,90.5,70,8,4.3,0,29.9,29.9,29.8,0.00,2020-01-24
24,34.9,28,39,33.7,28,100,95.6,87,8,1.8,0,29.8,29.8,29.7,0.00,2020-01-25
25,41.1,34,45,39.5,34,100,93.5,82,12,4.8,0,29.7,29.7,29.6,0.00,2020-01-26
26,47.3,46,46,45.0,41,93,89.6,81,17,14.5,10,29.6,29.4,29.2,0.00,2020-01-27
27,44.3,41,45,36.7,32,93,74.7,62,25,18.3,12,29.4,29.3,29.1,0.00,2020-01-28
28,43.9,39,41,37.5,36,93,79.3,66,17,11.0,3,29.7,29.6,29.4,0.00,2020-01-29
29,46.5,37,54,44.9,36,100,94.1,87,17,10.2,6,29.7,29.5,29.4,0.00,2020-01-30
30,53.9,52,52,51.1,50,100,91.0,77,16,11.2,5,29.6,29.6,29.5,0.00,2020-01-31
0,54.5,52,54,50.5,46,100,87.3,72,21,14.4,6,29.7,29.5,29.4,0.00,2020-02-01
1,55.5,52,55,53.3,50,100,92.8,82,17,12.5,6,29.7,29.6,29.5,0.00,2020-02-02
2,53.2,46,54,49.7,43,100,88.4,77,28,11.3,0,29.8,29.7,29.5,0.00,2020-02-03
3,44.8,41,43,37.4,34,93,76.1,54,25,14.7,9,30.1,29.9,29.6,0.00,2020-02-04
4,44.8,37,39,36.8,34,87,74.0,58,12,5.9,2,30.3,30.2,30.1,0.00,2020-02-05
5,41.5,34,36,31.5,23,93,70.9,33,9,5.6,0,30.2,30.1,29.9,0.00,2020-02-06
6,42.8,34,41,33.1,28,81,69.9,54,9,5.3,1,29.9,29.9,29.8,0.00,2020-02-07
7,47.8,45,46,43.1,39,100,83.0,76,12,6.4,2,29.8,29.8,29.8,0.00,2020-02-08
8,50.5,45,54,46.0,41,100,84.7,67,32,21.3,6,29.8,29.5,29.2,0.00,2020-02-09
9,51.2,46,52,41.5,37,87,70.0,54,32,23.9,18,29.6,29.4,29.2,0.00,2020-02-10
10,44.0,39,37,35.9,32,81,73.4,54,23,16.8,10,29.8,29.6,29.5,0.00,2020-02-11
11,42.9,39,37,35.6,34,87,75.5,57,17,11.0,5,29.8,29.8,29.7,0.00,2020-02-12
12,47.5,41,46,39.7,37,93,75.3,51,32,16.6,5,29.7,29.4,29.2,0.00,2020-02-13
13,48.6,46,43,42.2,41,87,78.1,62,14,8.9,5,29.9,29.8,29.6,0.00,2020-02-14
14,49.5,43,46,42.9,39,93,78.7,67,20,11.5,5,29.9,29.8,29.6,0.00,2020-02-15
15,57.2,48,52,47.1,45,93,69.2,59,29,21.6,12,29.6,29.5,29.4,0.00,2020-02-16
16,48.1,43,46,41.7,37,93,79.0,54,25,13.2,0,29.9,29.7,29.6,0.00,2020-02-17
17,44.9,39,41,37.8,36,93,76.8,58,21,12.8,8,30.0,30.0,29.8,0.00,2020-02-18
18,45.0,41,45,40.7,37,93,84.8,62,18,10.8,6,29.9,29.9,29.8,0.00,2020-02-19
19,47.1,41,46,42.4,37,93,83.4,71,21,12.2,7,29.9,29.8,29.7,0.00,2020-02-20
20,42.9,36,39,36.0,34,93,77.5,54,15,8.6,3,30.1,30.1,29.9,0.00,2020-02-21
21,47.7,39,46,41.0,36,87,77.6,67,17,12.4,6,30.1,30.0,29.9,0.00,2020-02-22
22,51.9,48,52,48.4,46,100,88.5,82,22,16.2,9,30.0,29.9,29.9,0.00,2020-02-23
23,52.4,50,52,48.0,45,100,86.4,72,23,15.7,9,29.9,29.8,29.6,0.00,2020-02-24
24,46.7,41,48,40.9,34,100,81.0,62,23,15.1,6,29.6,29.4,29.3,0.00,2020-02-25
25,40.0,37,37,34.2,32,93,79.1,61,22,15.4,7,29.6,29.4,29.3,0.00,2020-02-26
26,41.7,37,48,36.4,32,100,81.9,66,33,15.5,0,29.7,29.3,28.9,0.00,2020-02-27
27,42.2,34,48,37.5,32,94,84.3,66,21,11.9,3,29.8,29.6,29.4,0.00,2020-02-28
28,48.9,43,48,41.9,36,88,77.4,58,33,18.7,13,29.4,29.1,28.9,0.00,2020-02-29
